Settings, precison
tfidf_no_ds_1,0.663333333
tfidf_no_js_2,0.662222222
tfidf_no_jps_2,0.662222222
tfidf_no_pws_2,0.661111111
tfidf_no_kps_1,0.661111111
tfidf_no_djs_2,0.66
tfidf_no_djps_2,0.66
tfidf_true_jkpws_1,0.66
tfidf_false_jkpws_1,0.66
tfidf_no_js_3,0.658888889
tfidf_no_dks_3,0.658888889
tfidf_no_ps_3,0.657777778
tfidf_no_jps_1,0.657777778
tfidf_no_ks_1,0.656666667
tfidf_no_dps_3,0.656666667
tfidf_no_jps_3,0.655555556
tfidf_no_djs_3,0.655555556
tfidf_no_ws_4,0.654444444
tfidf_no_s_4,0.653333333
tfidf_no_kps_3,0.653333333
tfidf_no_djps_1,0.653333333
tfidf_no_jws_3,0.652222222
tfidf_no_djps_3,0.652222222
tfidf_true_dkws_1,0.652222222
tfidf_false_dkws_1,0.652222222
tfidf_no_ps_4,0.648888889
tfidf_no_pws_4,0.648888889
tfidf_no_js_1,0.648888889
tfidf_no_ks_2,0.647777778
tfidf_no_jws_4,0.646666667
tfidf_no_jks_3,0.646666667
tfidf_no_dks_2,0.646666667
tfidf_no_js_4,0.645555556
tfidf_no_dks_1,0.645555556
tfidf_no_dkps_1,0.645555556
tfidf_no_kps_2,0.644444444
tfidf_no_dkps_3,0.642222222
tfidf_no_djs_1,0.642222222
tfidf_no_jkps_1,0.642222222
tfidf_no_jps_4,0.641111111
tfidf_no_dkps_2,0.641111111
tfidf_no_jks_1,0.64
tfidf_no_ks_4,0.638888889
tfidf_no_jkps_3,0.637777778
tfidf_true_djkpws_1,0.637777778
tfidf_false_djkpws_1,0.637777778
tfidf_no_jks_2,0.635555556
tfidf_no_djks_3,0.635555556
tfidf_no_ds_4,0.634444444
tfidf_no_djks_1,0.634444444
tfidf_no_djks_2,0.634444444
tfidf_no_kps_4,0.633333333
tfidf_no_djs_4,0.633333333
tfidf_no_djkps_1,0.633333333
tfidf_true_jkws_1,0.632222222
tfidf_false_jkws_1,0.632222222
tfidf_no_jkps_2,0.631111111
tfidf_no_dks_4,0.631111111
