fold1, precison,fold2, precison,fold3, precison,fold4, precison,fold5, precison,fold6, precison,fold7, precison,fold8, precison,fold9, precison,fold10, precison
false_jw_3,0.888888889,false_jk_3,0.896666667,true_kpw_4,0.878888889,false_jkpw_4,0.923333333,true_kp_4,0.89,false_jkw_4,0.892222222,false_kp_3,0.893333333,true_dkw_3,0.877777778,false_dkp_3,0.915555556,false_jw_4,0.9
true_jkw_4,0.887777778,true_kw_4,0.894444444,false_pw_3,0.878888889,false_dkpw_4,0.923333333,true_dk_4,0.89,true_jk_4,0.89,false_dk_3,0.893333333,false_dw_2,0.877777778,false_djw_4,0.915555556,false_jpw_4,0.9
false_jkw_4,0.887777778,true_kpw_4,0.894444444,false_kpw_4,0.878888889,false_djkpw_4,0.923333333,true_dkp_4,0.89,false_jk_4,0.89,false_dkp_3,0.893333333,false_dkw_3,0.877777778,false_djpw_4,0.915555556,false_dpw_4,0.9
true_jkp_4,0.887777778,true_jkpw_3,0.894444444,true_kw_3,0.877777778,no_jw_3,0.922222222,false_k_4,0.89,true_w_2,0.888888889,false_djw_4,0.893333333,true_pw_3,0.876666667,true_djkw_4,0.914444444,false_dkpw_4,0.9
false_jkp_4,0.887777778,false_kw_4,0.894444444,true_dw_3,0.877777778,true_x_3,0.922222222,false_kp_4,0.89,true_jp_3,0.888888889,false_djpw_4,0.893333333,true_jkpw_4,0.876666667,true_djkpw_2,0.914444444,false_dj_3,0.9
true_kw_3,0.886666667,false_kpw_4,0.894444444,false_kw_3,0.877777778,true_j_3,0.922222222,false_dk_4,0.89,true_dkw_3,0.888888889,false_djkw_4,0.893333333,true_dw_3,0.876666667,true_djkpw_4,0.914444444,false_djw_4,0.9
true_dkpw_4,0.886666667,false_jkpw_3,0.894444444,false_dw_3,0.877777778,true_jp_3,0.922222222,false_dkp_4,0.89,true_djp_3,0.888888889,false_djkpw_4,0.893333333,true_djw_3,0.876666667,false_djkw_4,0.914444444,false_djpw_4,0.9
true_djw_3,0.886666667,true_k_4,0.894444444,true_jkw_4,0.876666667,true_d_3,0.922222222,true_jkp_4,0.888888889,false_w_2,0.888888889,true_jkpw_4,0.892222222,false_pw_3,0.876666667,false_djkpw_2,0.914444444,true_jkp_3,0.898888889
false_kw_3,0.886666667,true_kp_4,0.894444444,true_jkpw_4,0.876666667,true_dj_3,0.922222222,true_djkp_4,0.888888889,false_jp_3,0.888888889,false_jkpw_4,0.892222222,false_jkpw_4,0.876666667,false_djkpw_4,0.914444444,true_djkp_3,0.898888889
false_dkpw_4,0.886666667,true_jk_4,0.894444444,true_djkw_4,0.876666667,true_djp_3,0.922222222,false_jkp_4,0.888888889,false_dkw_3,0.888888889,true_d_3,0.892222222,false_dw_3,0.876666667,true_jkw_4,0.913333333,false_jkp_3,0.898888889
false_djw_3,0.886666667,true_jkp_4,0.894444444,true_djkpw_4,0.876666667,false_x_3,0.922222222,false_djkp_4,0.888888889,false_djp_3,0.888888889,false_d_3,0.892222222,false_djw_3,0.876666667,true_jkpw_4,0.913333333,false_djkp_3,0.898888889
true_w_2,0.886666667,true_dk_4,0.894444444,false_jkw_4,0.876666667,false_j_3,0.922222222,true_jkw_4,0.887777778,true_dw_3,0.887777778,true_jpw_3,0.891111111,true_k_4,0.875555556,true_djpw_2,0.913333333,true_jkw_4,0.897777778
true_kpw_4,0.886666667,true_dkp_4,0.894444444,false_jkpw_4,0.876666667,false_jp_3,0.922222222,true_jkpw_4,0.887777778,false_dw_3,0.887777778,false_jpw_3,0.891111111,true_kp_4,0.875555556,false_jkw_4,0.913333333,true_jkpw_4,0.897777778
false_w_2,0.886666667,true_djk_4,0.894444444,false_djkw_4,0.876666667,false_d_3,0.922222222,false_jkw_4,0.887777778,true_x_2,0.887777778,true_dj_3,0.891111111,true_jk_3,0.875555556,false_jkpw_4,0.913333333,true_djkw_4,0.897777778
false_kpw_4,0.886666667,true_djkp_4,0.894444444,false_djkpw_4,0.876666667,false_dj_3,0.922222222,false_jkpw_4,0.887777778,true_d_2,0.887777778,true_djp_3,0.891111111,true_dk_4,0.875555556,false_djpw_2,0.913333333,true_djkpw_4,0.897777778
true_djkpw_4,0.885555556,false_k_4,0.894444444,true_kpw_2,0.876666667,false_djp_3,0.922222222,true_dw_2,0.886666667,true_dk_4,0.887777778,false_dj_3,0.891111111,true_dkp_4,0.875555556,true_pw_3,0.912222222,false_jkw_4,0.897777778
false_djkpw_4,0.885555556,false_kp_4,0.894444444,true_jk_4,0.876666667,true_dkw_2,0.921111111,false_dw_2,0.886666667,true_dkp_4,0.887777778,false_djp_3,0.891111111,false_k_4,0.875555556,false_pw_3,0.912222222,false_jkpw_4,0.897777778
true_djkp_3,0.884444444,false_jk_4,0.894444444,true_dkw_2,0.876666667,false_dkw_2,0.921111111,true_pw_3,0.885555556,false_x_2,0.887777778,true_kw_4,0.89,false_kp_4,0.875555556,true_dpw_3,0.91,false_djkw_4,0.897777778
false_djkp_3,0.884444444,false_jkp_4,0.894444444,false_kpw_2,0.876666667,true_jk_3,0.921111111,true_kpw_2,0.885555556,false_d_2,0.887777778,false_kw_4,0.89,false_jk_3,0.875555556,false_dpw_3,0.91,false_djkpw_4,0.897777778
true_jp_3,0.884444444,false_dk_4,0.894444444,false_jk_4,0.876666667,true_jk_4,0.921111111,true_dkw_2,0.885555556,false_dk_4,0.887777778,true_djk_3,0.89,false_dk_4,0.875555556,true_kpw_3,0.908888889,true_w_3,0.896666667
true_djp_3,0.884444444,false_dkp_4,0.894444444,false_dkw_2,0.876666667,true_dk_3,0.921111111,false_pw_3,0.885555556,false_dkp_4,0.887777778,true_djkp_3,0.89,false_dkp_4,0.875555556,false_kpw_3,0.908888889,false_w_3,0.896666667
false_jp_3,0.884444444,false_djk_4,0.894444444,true_djp_3,0.875555556,true_dkp_3,0.921111111,false_kpw_2,0.885555556,true_k_2,0.886666667,false_djk_3,0.89,true_dkw_2,0.874444444,true_jpw_1,0.908888889,true_kw_3,0.895555556
false_djp_3,0.884444444,false_djkp_4,0.894444444,false_djp_3,0.875555556,true_djk_3,0.921111111,false_dkw_2,0.885555556,true_kw_2,0.886666667,false_djkp_3,0.89,false_dkw_2,0.874444444,false_jpw_1,0.908888889,false_kw_3,0.895555556
true_w_3,0.883333333,true_dpw_3,0.893333333,true_djk_4,0.874444444,true_djk_4,0.921111111,true_dpw_3,0.881111111,true_j_3,0.886666667,true_kpw_4,0.888888889,true_jp_3,0.874444444,true_jpw_3,0.907777778,true_x_2,0.894444444
false_w_3,0.883333333,false_dpw_3,0.893333333,false_djk_4,0.874444444,false_jk_3,0.921111111,false_dpw_3,0.881111111,true_jk_3,0.886666667,true_jw_3,0.888888889,true_djp_3,0.874444444,false_jpw_3,0.907777778,true_d_2,0.894444444
true_kw_2,0.883333333,true_j_3,0.893333333,true_jp_3,0.874444444,false_jk_4,0.921111111,true_jk_4,0.88,true_dj_3,0.886666667,true_jkw_2,0.888888889,false_jp_3,0.874444444,true_djpw_3,0.905555556,false_x_2,0.894444444
true_jkp_3,0.883333333,true_jp_3,0.893333333,false_jp_3,0.874444444,false_dk_3,0.921111111,true_djk_4,0.88,true_djk_3,0.886666667,true_dw_4,0.888888889,false_djp_3,0.874444444,false_djpw_3,0.905555556,false_d_2,0.894444444
true_jkpw_4,0.883333333,true_dj_3,0.893333333,true_dj_3,0.873333333,false_dkp_3,0.921111111,false_jk_4,0.88,false_k_2,0.886666667,true_dpw_4,0.888888889,true_j_3,0.872222222,true_dkpw_3,0.904444444,true_jw_3,0.893333333
